polygon,ts_max,ts_min
2,2017-07-03 09:43:19,2017-06-22 15:25:33
3,2017-07-03 09:47:33,2017-06-22 15:41:38
4,2017-07-03 11:04:13,2017-06-22 16:28:09
5,2017-07-03 09:40:43,2017-06-22 15:26:49
6,2017-07-03 13:02:51,2017-06-22 14:43:17
7,2017-07-03 11:31:05,2017-06-22 15:24:57
8,2017-07-02 18:15:15,2017-06-23 15:21:20
9,2017-07-03 09:45:23,2017-06-22 15:49:46
10,2017-07-03 10:00:16,2017-06-22 15:27:09
11,2017-07-03 10:00:01,2017-06-22 15:29:25
14,2017-07-03 09:03:36,2017-06-22 16:25:26
15,2017-07-03 08:31:31,2017-06-22 16:40:31
16,2017-07-03 09:22:46,2017-06-22 15:50:17
17,2017-07-03 10:00:43,2017-06-22 17:16:47
18,2017-07-03 10:30:16,2017-06-23 00:56:50
19,2017-07-03 10:00:54,2017-06-22 15:52:27
20,2017-07-03 09:53:09,2017-06-22 15:41:24
21,2017-07-03 10:00:12,2017-06-22 16:08:21
22,2017-07-03 10:05:31,2017-06-22 14:33:07
23,2017-07-03 10:01:39,2017-06-22 17:09:54
24,2017-07-03 10:01:59,2017-06-22 14:43:17
25,2017-07-03 04:46:17,2017-06-23 02:27:25
26,2017-07-03 13:02:51,2017-06-22 14:43:17
27,2017-07-03 09:31:42,2017-06-22 16:09:18
28,2017-07-03 09:33:06,2017-06-22 14:30:44
29,2017-07-03 09:45:00,2017-06-22 17:34:05
30,2017-07-03 09:56:44,2017-06-23 20:05:15
31,2017-07-03 10:49:38,2017-06-23 00:55:59
32,2017-07-02 20:33:34,2017-06-22 15:51:48
33,2017-07-03 09:49:41,2017-06-22 14:28:23
34,2017-07-03 09:31:42,2017-06-22 16:09:50
35,2017-07-03 09:34:51,2017-06-22 16:09:18
36,2017-07-03 08:24:11,2017-06-22 17:30:59
37,2017-07-03 09:36:41,2017-06-22 18:19:02
38,2017-07-03 10:01:06,2017-06-22 15:28:58
39,2017-07-03 09:38:36,2017-06-23 11:12:04
40,2017-07-03 07:23:53,2017-06-22 15:50:38
41,2017-07-03 10:46:19,2017-06-22 15:07:49
42,2017-07-03 09:53:38,2017-06-23 09:45:31
43,2017-07-03 10:00:09,2017-06-22 15:26:32
44,2017-07-03 09:24:25,2017-06-22 15:51:48
45,2017-07-03 08:36:50,2017-06-22 15:42:23
46,2017-07-03 09:36:30,2017-06-22 16:11:33
47,2017-07-03 13:10:48,2017-06-22 15:00:55
48,2017-07-03 09:45:55,2017-06-22 16:17:30
49,2017-07-03 10:00:05,2017-06-22 15:28:52
50,2017-07-03 10:00:01,2017-06-22 14:10:27
51,2017-07-03 07:18:47,2017-06-22 21:02:52
52,2017-07-03 09:33:05,2017-06-22 15:42:18
53,2017-07-03 10:00:01,2017-06-22 14:37:37
56,2017-07-03 10:00:05,2017-06-22 15:42:18
57,2017-07-03 09:31:01,2017-06-22 14:19:02
58,2017-07-03 10:22:51,2017-06-22 16:05:34
60,2017-07-03 07:31:29,2017-06-22 16:58:03
61,2017-07-03 09:49:43,2017-06-22 14:43:29
62,2017-07-03 09:46:47,2017-06-22 15:41:09
63,2017-07-03 09:49:04,2017-06-22 14:28:23
64,2017-07-03 10:00:01,2017-06-22 15:41:03
65,2017-07-03 09:46:54,2017-06-22 14:10:27
66,2017-07-03 10:01:30,2017-06-22 14:44:17
67,2017-07-03 10:00:23,2017-06-22 14:30:07
68,2017-07-03 10:00:05,2017-06-22 15:29:11
69,2017-07-03 10:02:48,2017-06-22 15:41:44
70,2017-07-03 09:30:35,2017-06-22 16:20:23
