Row Labels,Count of REAL_TIMESTAMP
6261600,1
6270830,1
6270900,2
6270915,5
6271200,7
6271215,15
6271230,13
6271245,4
6271300,15
6271315,20
6271330,18
6271345,15
6271400,15
6271415,15
6271430,15
6271445,15
6271500,15
6271515,16
6271530,15
6271545,15
6271600,13
6271615,12
6271630,2
6271645,1
6271700,1
6271815,1
6271845,3
6271900,1
6271915,2
6271930,1
6271945,1
6272000,1
6272015,5
6272030,12
6272045,3
6272100,12
6272130,1
6272145,8
6272200,15
6272215,15
6272315,1
6272330,7
6272345,2
6280000,10
6280015,6
6280030,9
6280215,1
6280245,11
6280300,15
6280315,15
6280330,15
6280345,12
6280400,21
6280415,15
6280430,15
6280445,11
6280545,1
6280645,2
6280715,15
6280730,10
6280745,1
6280945,1
6281215,1
6281330,1
6281500,6
6281600,3
6281615,3
6281645,1
6281700,15
6281715,16
6281730,12
6281745,4
6281845,1
6281900,1
6281930,5
6281945,15
6282000,15
6282015,15
6282030,15
6282045,15
6282100,15
6282115,11
6282130,14
6282145,16
6282200,28
6282215,30
6282230,19
6282245,24
6282300,12
6282315,4
6282330,1
6290000,12
6290015,24
6290030,16
6290045,15
6290100,1
6290115,7
6290130,3
6290200,14
6290215,15
6290230,10
6290245,2
6290315,14
6290330,29
6290345,30
6290400,18
6290415,15
6290430,15
6290445,15
6290500,15
6290515,27
6290530,30
6290545,26
6290600,25
6290615,31
6290630,3
6290645,11
6290700,15
6290715,15
6290730,15
6290815,1
6290830,5
6290845,15
6290900,15
6290915,24
6290930,15
6290945,1
6291000,16
6291015,9
6291030,2
6291045,6
6291100,12
6291200,5
6291415,10
6291430,15
6291445,15
6291500,13
6291515,1
6291730,35
6291745,41
6291800,15
6291815,16
6291830,15
6291845,21
6291900,17
6291915,15
6291930,16
6291945,15
6292000,15
6292015,15
6292030,29
6292045,34
6292100,31
6292115,18
6292130,27
6292145,14
6292200,13
6292215,27
6292230,30
6292245,30
6292300,25
6292315,28
6292330,8
6292345,14
6300000,20
6300015,34
6300030,34
6300045,36
6300100,33
6300115,13
6300130,15
6300145,11
6300200,12
6300215,15
6300230,11
6300245,15
6300300,16
6300315,15
6300330,8
6300400,1
6300530,11
6300545,16
6300600,15
6300615,2
6300630,1
6300645,1
6300700,1
6300745,9
6300800,24
6300815,26
