Row Labels,Count of REAL_TIMESTAMP
6261600,1
6270800,1
6270900,7
6271200,39
6271300,68
6271400,60
6271500,61
6271600,28
6271700,1
6271800,4
6271900,5
6272000,21
6272100,21
6272200,30
6272300,10
6280000,25
6280200,12
6280300,57
6280400,62
6280500,1
6280600,2
6280700,26
6280900,1
6281200,1
6281300,1
6281500,6
6281600,7
6281700,47
6281800,1
6281900,21
6282000,60
6282100,56
6282200,101
6282300,17
6290000,67
6290100,11
6290200,41
6290300,73
6290400,63
6290500,98
6290600,70
6290700,45
6290800,21
6290900,55
6291000,33
6291100,12
6291200,5
6291400,40
6291500,14
6291700,76
6291800,67
6291900,63
6292000,93
6292100,90
6292200,100
6292300,75
6300000,124
6300100,72
6300200,53
6300300,39
6300400,1
6300500,27
6300600,19
6300700,10
6300800,93
6300900,41
6301000,49
6301100,2
6301200,10
6301300,57
6301400,42
6301500,35
6301600,39
6301700,100
6301800,62
6301900,42
6302000,10
6302100,45
6302200,120
6302300,108
7010000,37
7011000,1
7011100,2
7011200,20
7011300,26
7011400,1
7011500,5
7011600,112
7011700,65
7011800,28
7011900,60
7012000,100
7012100,89
7012200,103
7012300,64
7020000,45
7020100,131
7020200,192
7020300,201
7020400,98
7020500,110
7020600,120
7020700,43
7020800,9
7021000,5
7021200,9
7021300,174
7021400,47
7021500,5
7021600,24
7021700,102
7021800,86
7021900,66
7022000,39
7022100,58
7022200,20
7022300,50
7030000,36
7030100,64
7030200,7
7030300,58
7030400,109
7030500,68
7030600,126
7030700,117
7030800,77
7030900,85
7031000,112
7031100,81
7031200,70
7031300,52
7031400,235
7031500,162
7031600,168
7031700,76
7031800,16
7031900,35
7032000,129
7032100,78
7032200,123
7032300,216
7040000,139
7040100,108
7040200,111
7040300,89
7040400,115
7040500,62
7040600,145
7040700,151
7040800,82
7040900,30
7041000,65
7041100,13
7041200,41
7041300,5
7041400,36
7041500,22
7041600,1
7041800,152
7041900,88
7042000,89
7042100,84
7042200,85
7042300,42
7050000,1
7050100,30
7050200,46
7050300,56
7050400,30
7050500,43
7050600,10
7050700,1
7050900,1
7051000,41
7051100,36
7051200,23
7051400,4
7051500,1
7051600,1
